household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c
2,대조,0,10.0,9.0,264.89,91.0,3.0,5.28,0.0,0.0,0,1.99,1.0,1.0,209.5,4.0,10.0,1,1,10.0,2.302585092994046,5.583082689418416,0.019932802295292387,0,0.0
3,대조,0,6.0,15.0,1011.68,608.0,5.0,14.280000000000001,0.0,0.0,0,32.51,14.0,6.0,530.79,5.0,6.0,1,1,6.0,2.772588722239781,6.9203555609578755,0.014115135220623123,0,0.0
4,대조,0,8.0,8.0,401.35,127.0,0.0,0.0,0.0,0.0,0,6.5,3.0,3.0,200.3,4.0,8.0,1,1,8.0,2.1972245773362196,5.997322356592142,0.0,0,0.0
6,대조,0,1.0,38.0,1007.83,381.0,0.0,0.0,0.0,0.0,0,3.77,2.0,2.0,647.54,21.0,1.0,1,1,1.0,3.6635616461296463,6.916546522511469,0.0,0,0.0
7,대조,0,24.0,8.0,372.49,135.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,106.55,3.0,24.0,0,1,24.0,2.1972245773362196,5.922891230452735,0.0,0,0.0
13,대조,0,5.0,40.0,1769.54,249470.0,8.0,20.82,0.0,0.0,1,20.67,8.0,6.0,1462.49,31.0,5.0,1,1,5.0,3.713572066704308,7.47903986378475,0.011765769635046396,0,0.0
14,대조,0,23.0,3.0,15.549999999999999,7.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,137.97,10.0,23.0,0,1,23.0,1.3862943611198906,2.8063861018230716,0.0,0,0.0
16,대조,0,3.0,21.0,353.12,21526.0,3.0,5.68,0.0,0.0,1,7.58,2.0,2.0,274.91,16.0,3.0,1,1,3.0,3.091042453358316,5.869635838742848,0.016085183507023107,0,0.0
18,대조,0,1.0,20.0,777.3100000000001,32477.0,13.0,39.75,0.0,0.0,1,34.59,13.0,9.0,884.84,15.0,1.0,1,1,1.0,3.044522437723423,6.657124902398797,0.051137898650474065,0,0.0
19,대조,0,2.0,43.0,1131.6200000000001,101431.0,9.0,20.87,0.0,0.0,1,8.03,3.0,3.0,650.35,22.0,2.0,1,1,2.0,3.784189633918261,7.032288812008698,0.01844258673406267,0,0.0
20,대조,0,1.0,35.0,689.36,50038.0,5.0,11.93,0.0,0.0,1,6.48,4.0,3.0,831.39,41.0,1.0,1,1,1.0,3.58351893845611,6.537213200663202,0.017305906928165252,0,0.0
23,대조,0,2.0,18.0,682.26,60035.0,6.0,28.580000000000002,0.0,0.0,0,9.27,3.0,2.0,538.38,20.0,2.0,1,1,2.0,2.9444389791664403,6.526875460632285,0.04189018849119105,0,0.0
