household_key,group,treatment,recency_days,pre_baskets,pre_sales,pre_quantity,pre_target_purchase_count,pre_target_sales,pre_coupon_redemptions,pre_campaign_count_raw,has_demographic,target_sales,target_quantity,target_purchase_count,total_sales,baskets,recency_days_filled,target_purchase,any_purchase,pre_recency_capped,log_pre_baskets,log_pre_sales,pre_target_share,pre_coupon_user,pre_campaign_count_c
2,대조,0,15.0,13.0,425.39,171.0,1.0,4.39,0.0,0.0,0,7.28,2.0,2.0,232.95,5.0,15.0,1,1,15.0,2.6390573296152584,6.05535442041903,0.010319941700557136,0,0.0
3,대조,0,8.0,12.0,880.61,529.0,0.0,0.0,0.0,0.0,0,1.39,1.0,1.0,421.77,8.0,8.0,1,1,8.0,2.5649493574615367,6.781749781347023,0.0,0,0.0
4,대조,0,6.0,6.0,307.17,100.0,0.0,0.0,0.0,0.0,0,4.0,2.0,1.0,296.90000000000003,6.0,6.0,1,1,6.0,1.9459101490553132,5.730651578758223,0.0,0,0.0
6,대조,0,1.0,37.0,954.82,371.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,818.6800000000001,29.0,1.0,0,1,1.0,3.6375861597263857,6.862569610804818,0.0,0,0.0
7,대조,0,2.0,9.0,383.07,137.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,72.58,1.0,2.0,0,1,2.0,2.302585092994046,5.950824827641287,0.0,0,0.0
13,대조,0,2.0,44.0,2044.34,277629.0,1.0,5.99,0.0,0.0,1,0.0,0.0,0.0,1536.73,32.0,2.0,0,1,2.0,3.8066624897703196,7.623319313826082,0.0029300409912245517,0,0.0
14,대조,0,1.0,7.0,62.37,40.0,1.0,1.0,0.0,0.0,0,3.34,2.0,2.0,137.97,10.0,1.0,1,1,1.0,2.0794415416798357,4.148990563335426,0.0160333493666827,0,0.0
16,대조,0,1.0,20.0,341.48,11390.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,256.54,15.0,1.0,0,1,1.0,3.044522437723423,5.836213261836691,0.0,0,0.0
18,대조,0,2.0,23.0,871.76,28940.0,1.0,4.0,0.0,0.0,1,3.69,1.0,1.0,1028.0,16.0,2.0,1,1,2.0,3.1780538303479458,6.77166060395445,0.004588418830870882,0,0.0
19,대조,0,2.0,39.0,1123.66,64869.0,10.0,14.7,0.0,0.0,1,5.9399999999999995,4.0,4.0,695.35,26.0,2.0,1,1,2.0,3.6888794541139363,7.025236046737959,0.01308224907890287,0,0.0
20,대조,0,4.0,21.0,433.23,25304.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,772.73,40.0,4.0,0,1,4.0,3.091042453358316,6.073574347641472,0.0,0,0.0
23,대조,0,1.0,17.0,662.04,60033.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,561.63,18.0,1.0,0,1,1.0,2.8903717578961645,6.496835320191009,0.0,0,0.0
25,대조,0,3.0,10.0,407.76,183.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,282.13,6.0,3.0,0,1,3.0,2.3978952727983707,6.013128186744009,0.0,0,0.0
26,대조,0,33.0,17.0,225.6,127.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,116.83,3.0,33.0,0,1,33.0,2.8903717578961645,5.423186348593906,0.0,0,0.0
28,대조,0,5.0,27.0,436.5,138.0,4.0,5.46,0.0,0.0,0,1.68,1.0,1.0,255.17000000000002,15.0,5.0,1,1,5.0,3.332204510175204,6.081076705797669,0.012508591065292096,0,0.0
29,대조,0,1.0,12.0,385.0,234.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,254.86,13.0,1.0,0,1,1.0,2.5649493574615367,5.955837369464831,0.0,0,0.0
31,대조,0,12.0,3.0,387.04,16708.0,8.0,17.65,0.0,0.0,1,0.0,0.0,0.0,127.71000000000001,3.0,12.0,0,1,12.0,1.3862943611198906,5.961108427093083,0.04560252170318313,0,0.0
36,대조,0,7.0,22.0,830.27,8799.0,3.0,7.43,0.0,0.0,0,0.0,0.0,0.0,42.879999999999995,5.0,7.0,0,1,7.0,3.1354942159291497,6.722954651830999,0.008948896142218795,0,0.0
37,대조,0,5.0,4.0,157.5,56.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,323.17,7.0,5.0,0,1,5.0,1.6094379124341003,5.065754593317335,0.0,0,0.0
40,대조,0,1.0,55.0,1673.3600000000001,97854.0,10.0,17.64,0.0,0.0,1,3.74,2.0,2.0,1108.29,37.0,1.0,1,1,1.0,4.02535169073515,7.423186281692116,0.010541664674666539,0,0.0
41,대조,0,1.0,8.0,229.56,106.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,154.8,5.0,1.0,0,1,1.0,2.1972245773362196,5.440511132251212,0.0,0,0.0
42,대조,0,4.0,13.0,334.75,204.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,221.14,10.0,4.0,0,1,4.0,2.6390573296152584,5.816366835403347,0.0,0,0.0
43,대조,0,5.0,10.0,47.36,1149.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,214.72,20.0,5.0,0,1,5.0,2.3978952727983707,3.878673025746592,0.0,0,0.0
45,대조,0,2.0,15.0,202.0,66.0,1.0,1.99,0.0,0.0,0,5.0,3.0,1.0,174.49,12.0,2.0,1,1,2.0,2.772588722239781,5.313205979041787,0.009851485148514852,0,0.0
46,대조,0,6.0,5.0,199.22,73.0,0.0,0.0,0.0,0.0,1,3.78,2.0,1.0,1205.81,15.0,6.0,1,1,6.0,1.791759469228055,5.2994167619913375,0.0,0,0.0
47,대조,0,12.0,18.0,324.61,118.0,2.0,2.0,0.0,0.0,0,0.0,0.0,0.0,265.58,9.0,12.0,0,1,12.0,2.9444389791664403,5.785700346187478,0.0061612396414158525,0,0.0
48,대조,0,28.0,6.0,75.18,3128.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,12.94,1.0,28.0,0,1,28.0,1.9459101490553132,4.333098961050458,0.0,0,0.0
49,대조,0,11.0,6.0,233.0,47908.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,532.35,9.0,11.0,0,1,11.0,1.9459101490553132,5.455321115357702,0.0,0,0.0
51,대조,0,1.0,11.0,324.2,138.0,1.0,2.39,0.0,0.0,0,2.39,1.0,1.0,205.47,9.0,1.0,1,1,1.0,2.4849066497880004,5.784440377673656,0.007371992597162246,0,0.0
52,대조,0,1.0,24.0,569.12,10016.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,547.5,12.0,1.0,0,1,1.0,3.2188758248682006,6.3458468649868305,0.0,0,0.0
55,대조,0,1.0,23.0,261.5,57.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,143.25,16.0,1.0,0,1,1.0,3.1780538303479458,5.570251082031678,0.0,0,0.0
56,대조,0,5.0,30.0,772.44,8613.0,0.0,0.0,0.0,0.0,1,1.67,1.0,1.0,993.05,25.0,5.0,1,1,5.0,3.4339872044851463,6.6508480975151185,0.0,0,0.0
57,대조,0,8.0,21.0,328.15,32755.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,604.47,24.0,8.0,0,1,8.0,3.091042453358316,5.796513573913885,0.0,0,0.0
58,대조,0,1.0,46.0,1690.19,252508.0,3.0,12.15,0.0,0.0,1,2.29,1.0,1.0,1037.51,27.0,1.0,1,1,1.0,3.8501476017100584,7.433187702137281,0.007188540933267857,0,0.0
